strategy_dir,bbox_name,num_outputs,mean_index,mean_threshold,mean_inside_output_target_l1,mean_inside_output_target_mse,mean_outside_output_source_l1,mean_outside_output_source_mse,mean_outside_outer_output_source_l1,mean_outside_outer_output_source_mse,mean_whole_output_source_l1,mean_whole_output_target_l1,mean_clip_output_prompt_similarity,mean_clip_target_prompt_similarity,mean_lpips_output_target_whole,mean_lpips_output_source_whole,mean_lpips_output_target_inside_bbox,mean_lpips_output_source_inside_bbox,mean_changed_pixels,mean_bbox_pixels,mean_changed_bbox_iou,mean_changed_inside_bbox_ratio,mean_bbox_coverage_by_change,mean_changed_center_x,mean_changed_center_y,mean_changed_to_bbox_center_distance_px,mean_changed_to_bbox_center_distance_norm
strategy_c_small-corners,bottom_right,3,1.0,0.08,0.05131852378447851,0.012528351818521818,0.02724369118611018,0.0018734716577455401,0.027608017126719158,0.001902832688453297,0.032444910456736885,0.07066550478339195,nan,nan,nan,nan,nan,nan,20573.333333333332,83264.0,0.10996521473803005,0.47514389911555827,0.12610273660078347,302.8780517578125,289.98769124348956,159.06368923314292,0.21967776034629882
strategy_c_small-corners,center,3,1.0,0.08,0.13653290023406348,0.05023413151502609,0.031193770468235016,0.0025202845378468433,0.03220543327430884,0.0026579381277163825,0.035894629855950676,0.07055965562661488,nan,nan,nan,nan,nan,nan,22058.666666666668,83264.0,0.09914139487372899,0.4084900693823294,0.1170132171792328,262.9237772623698,261.7479705810547,57.599770925405345,0.07954919651590987
strategy_c_small-corners,original,3,1.0,0.08,0.14584729820489883,0.05363362034161886,0.03183945765097936,0.0026792491941402354,0.03302540505925814,0.002869808425505956,0.03607084726293882,0.07017944380640984,nan,nan,nan,nan,nan,nan,22370.0,83264.0,0.08773092025110152,0.3799468480174523,0.10391408793752543,259.1959482828776,255.49527486165366,73.51782641398052,0.10153311249105683
strategy_c_small-corners,top_left,3,1.0,0.08,0.08424108723799388,0.025427978796263535,0.028799772262573242,0.0022838096289585033,0.028850299616654713,0.0023082567689319453,0.032251134514808655,0.07042557497819264,nan,nan,nan,nan,nan,nan,20367.666666666668,83264.0,0.09541317302717384,0.46017286430842247,0.10909469436813186,225.6791229248047,214.44720967610678,113.66262112171398,0.1569758010988306
strategy_c_small-corners,top_right,3,1.0,0.08,0.15084543327490488,0.05695245290795962,0.02913944919904073,0.0024125444081922374,0.02845420005420844,0.0021579640839869776,0.03461718497176965,0.0728064017991225,nan,nan,nan,nan,nan,nan,22532.666666666668,12170.666666666666,0.19020748742142746,0.2744364500127721,0.44796144866369586,306.3384195963542,202.18209330240884,217.16747681196122,0.29992303809943377
strategy_cplus_corners,bottom_left,3,1.0,0.08,0.06655945877234141,0.01676051039248705,0.05101020013292631,0.012964216060936451,0.04973886037866274,0.012281259521842003,0.05187317604819933,0.0819543016453584,nan,nan,nan,nan,nan,nan,34859.333333333336,12170.666666666666,0.05080946918011454,0.07354430722481063,0.21802088945698497,223.00726826985678,297.89874267578125,231.36241982090917,0.31952721868573003
strategy_cplus_corners,bottom_right,3,1.0,0.08,0.11201098561286926,0.048050724901258945,0.027599201227227848,0.002029960975050926,0.027651693671941757,0.0019111527362838387,0.046273993949095406,0.0843565637866656,nan,nan,nan,nan,nan,nan,28942.666666666668,83264.0,0.21633630210878316,0.644550901665747,0.25074505319622503,300.5079040527344,320.16335042317706,119.13217697890802,0.16452962929551124
strategy_cplus_corners,center,3,1.0,0.08,0.16362310449282327,0.06318267186482747,0.03250261830786864,0.0028858812293037772,0.03259479130307833,0.002678222837857902,0.06728993604580562,0.07944451148311298,nan,nan,nan,nan,nan,nan,45598.333333333336,83264.0,0.35100586235650727,0.6938200542705778,0.41417248947522384,242.22813924153647,242.42752583821616,23.942890093803715,0.03306675770807191
strategy_cplus_corners,original,3,1.0,0.08,0.17607855796813965,0.07200692594051361,0.03274432569742203,0.002872679615393281,0.03351672366261482,0.0028941596004491052,0.07956697046756744,0.07840022072196007,nan,nan,nan,nan,nan,nan,51630.0,83264.0,0.39127044433350694,0.7228194609115874,0.4629652523402523,238.23641459147134,247.8446044921875,37.905031491585476,0.05234942345466742
strategy_cplus_corners,top_left,3,1.0,0.08,0.10412752504150073,0.03252082255979379,0.028996242831150692,0.0022902945832659802,0.02901290108760198,0.002310460084117949,0.0446658656001091,0.07459014654159546,nan,nan,nan,nan,nan,nan,31629.333333333332,83264.0,0.2231712160713951,0.6405641369549704,0.25856117009437324,210.91102600097656,210.23044077555338,97.4923021540409,0.1346434921222855
strategy_cplus_corners,top_right,3,1.0,0.08,0.036401218424240746,0.005099246899286906,0.0347164049744606,0.004725147504359484,0.03386628131071726,0.004485687939450145,0.034921664744615555,0.07299169898033142,nan,nan,nan,nan,nan,nan,22978.0,12170.666666666666,0.038050251137375056,0.06577662992171765,0.09799800503803313,290.0904032389323,226.54418436686197,242.1218358452863,0.33438670312409774
strategy_cplus_small-corners,bottom_left,3,1.0,0.08,0.19817529122034708,0.07949158176779747,0.029313862944642704,0.0024899128669252,0.02858289269109567,0.002154516289010644,0.035231209049622216,0.07342605541149776,nan,nan,nan,nan,nan,nan,22344.333333333332,12170.666666666666,0.19317985495704426,0.2673625327523355,0.5826863913240318,216.69764709472656,305.2618815104167,229.7556041038387,0.31730809702624235
strategy_cplus_small-corners,bottom_right,3,1.0,0.08,0.05489924674232801,0.01364526990801096,0.02743619680404663,0.0018940884619951248,0.027803631499409676,0.0019242876054098208,0.0344288262228171,0.07265355934699376,nan,nan,nan,nan,nan,nan,22111.0,83264.0,0.12295207020050263,0.5152866375607215,0.14033814420533172,306.8987325032552,305.5570068359375,145.71983806262165,0.2012489954052448
strategy_cplus_small-corners,center,3,1.0,0.08,0.13436644275983176,0.04814041405916214,0.03133986269434293,0.0025455954407031336,0.03235857312877973,0.002686131667966644,0.03759307414293289,0.07102524489164352,nan,nan,nan,nan,nan,nan,23057.333333333332,83264.0,0.10550982391931636,0.4287543025279316,0.12390521262591575,263.34828694661456,260.60264078776044,59.6957922268435,0.08244394432012546
strategy_cplus_small-corners,original,3,1.0,0.08,0.14291057735681534,0.05144515633583069,0.03200202373166879,0.0026972031919285655,0.033195982997616134,0.0028901582894225917,0.04137588789065679,0.06961784387628238,nan,nan,nan,nan,nan,nan,25675.333333333332,83264.0,0.11760701326863925,0.4502010718154907,0.13940648291234228,255.63671366373697,245.61133829752603,61.878077932727,0.085457829126994
strategy_cplus_small-corners,top_left,3,1.0,0.08,0.08692964042226474,0.02582777477800846,0.02888335349659125,0.0023000239937876663,0.028935246169567108,0.002324527711607516,0.032911026229461036,0.07112955674529076,nan,nan,nan,nan,nan,nan,21476.666666666668,83264.0,0.11046923072096904,0.49129507962667196,0.12575967579873829,219.71668497721353,206.9273910522461,106.75706462656201,0.14743875847072754
strategy_cplus_small-corners,top_right,3,1.0,0.08,0.14088068902492523,0.04878053689996401,0.02895541861653328,0.0023044050903990865,0.028510302305221558,0.0021693995610500374,0.033976572255293526,0.07218989357352257,nan,nan,nan,nan,nan,nan,22566.0,12170.666666666666,0.19719784841675558,0.2824998345439084,0.4482867319945972,310.26026407877606,201.1118621826172,214.25727854980838,0.29590385660379787
